question,option1,option2,option3,option4,answerIndex,explanation
太陽の直径は何kmですか？,約380万km,約140万km,約1億km,約10万km,1,正解は「約140万km」です。
太陽の直径は地球の何倍ですか？,約365倍,約109倍,約1000倍,約10倍,1,正解は「約109倍」です。
太陽は主に何という気体からできていますか？,二酸化炭素,酸素,水素,窒素,2,正解は「水素」です。
太陽は主に何という気体からできていますか？（2つ目）,ヘリウム,ネオン,水素,酸素,0,正解は「ヘリウム」です。
太陽の表面温度は何度くらいですか？,約1000度,約6000度,約15000度,約2000度,1,正解は「約6000度」です。
太陽の表面には何が見られますか？,氷,火山,大気,黒点,3,正解は「黒点」です。
月が太陽を隠す現象を何と言いますか？,日食,月食,夜食,日照,0,正解は「日食」です。
皆既日食の時、太陽の周りに見えるものを1つ答えなさい,衛星,プロミネンス,流星,惑星,1,正解は「プロミネンス」です。
皆既日食の時、太陽の周りに見えるものをもう1つ答えなさい,コロナ,黒点,オーロラ,月面,0,正解は「コロナ」です。
太陽のように自ら光を出している星を何と言いますか？,流星,惑星,恒星,衛星,2,正解は「恒星」です。
地球の直径は何kmですか？,約1000km,約3800km,約1万3000km,約10万km,2,正解は「約1万3000km」です。
地球から太陽までの距離は何kmですか？,約5000万km,約1億5000万km,約100万km,約5億km,1,正解は「約1億5000万km」です。
地球が1日に1回回る動きを何と言いますか？,公転,回転,旋回,自転,3,正解は「自転」です。
地球が1年で太陽の周りを一周する動きを何と言いますか？,反転,周回,公転,自転,2,正解は「公転」です。
地球は西から東へ自転していますか？,たぶん,いいえ,はい,分からない,2,正解は「はい」です。
太陽はどちらからどちらへ動いて見えますか？,北から南,西から東,南から北,東から西,3,正解は「東から西」です。
太陽はどの方角の地平線から出ますか？,北,東,西,南,1,正解は「東」です。
太陽はどの方角の地平線に沈みますか？,東,北,西,南,2,正解は「西」です。
太陽が真上に来ることを何と言いますか？,南中,日中,赤道,日照,0,正解は「南中」です。
太陽の上の端が見え始めた瞬間を何と言いますか？,日食,朝食,日の出,日の入り,2,正解は「日の出」です。
太陽が全部隠れた瞬間を何と言いますか？,日の出,日の入り,夜明け,夕方,1,正解は「日の入り」です。
日本では東の地方ほど南中時刻はどうなりますか？,変わらない,早くなる,日による,遅くなる,1,正解は「早くなる」です。
日本では西の地方ほど南中時刻はどうなりますか？,地域による,遅くなる,早くなる,変わらない,1,正解は「遅くなる」です。
1年のうち昼の長さが最も長いのはいつですか？,夏至,冬至,秋分,春分,0,正解は「夏至」です。
1年のうち昼の長さが最も短いのはいつですか？,夏至,秋分,春分,冬至,3,正解は「冬至」です。
春分や秋分の頃、昼と夜の長さはどうなっていますか？,昼が長い,全く違う,ほとんど同じ,夜が長い,2,正解は「ほとんど同じ」です。
太陽の南中高度が最も高くなるのはいつ頃ですか？,春分,夏至,秋分,冬至,1,正解は「夏至」です。
太陽の南中高度が最も低くなるのはいつ頃ですか？,冬至,春分,秋分,夏至,0,正解は「冬至」です。
太陽の位置は何と何で表しますか？,時間,高度,方位,緯度,2,正解は「方位」です。
太陽の位置は何と何で表しますか？（2つ目）,方位,温度,高度,角度,2,正解は「高度」です。
方位を測る装置は何ですか？,方位磁針,分度器,物差し,温度計,0,正解は「方位磁針」です。
太陽の高度を調べる時、棒の長さと何の長さを測りますか？,時間,方向,温度,影の長さ,3,正解は「影の長さ」です。
昼に棒の影が最も短くなるのは太陽がどの位置にある時ですか？,地平線,東側,真上,斜め上,2,正解は「真上」です。
1日のうち棒の影が最も長いのはいつですか？（1つ目）,朝,夜,夕方,昼,0,正解は「朝」です。
1日のうち棒の影が最も長いのはいつですか？（2つ目）,夕方,朝,昼,夜,0,正解は「夕方」です。
棒の影の動きは太陽の動きとどのような関係ですか？,速さが変わる,同じ方向になる,逆の方向になる,影が消える,2,正解は「逆の方向になる」です。
夏の南中高度はどうなりますか？,見えなくなる,低くなる,高くなる,変わらない,2,正解は「高くなる」です。
冬の南中高度はどうなりますか？,低くなる,変わらない,高くなる,見えなくなる,0,正解は「低くなる」です。
真南の影の長さは夏と冬ではどちらが短いですか？,冬,夏,春,秋,1,正解は「夏」です。
南中時の影の長さは夏と冬ではどちらが長いですか？,秋,春,夏,冬,3,正解は「冬」です。
太陽の高度が高くなると日差しの強さはどうなりますか？,変わらない,日による,弱くなる,強くなる,3,正解は「強くなる」です。
太陽の高度が低くなると日差しの強さはどうなりますか？,弱くなる,変わらない,場所による,強くなる,0,正解は「弱くなる」です。
